term,pos,comment,is_case_sensitive,en,comment_en
ཆུ་བོ་ བརྩེགས་ འབབ,,place-—,yes,River of Layered Flows,"\nA river in Dwelling in the Lofty.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ བེའི་ ཏ་ ར་ ནི་ ཆེན་པོ,,place-Vaitarāṇi,yes,Vaitarāṇi River,"\nA river said to separate the living from the dead, like the River Styx. It causes great suffering to anyone who attempts to cross it.\nToh 116, Peter Alan Roberts with Tulku Yeshi,v 2.47.19"
ཆུ་བོ་ མ,,person-Bhāgīrathī,yes,Bhāgīrathī,"\nOne of the vidyārājñīs dwelling with Śākyamuni in the realm of the Pure Abode.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆུ་བོ་ འབབ་པ་ -འི་ ཚལ,,place-—,yes,Forest of Flowing Rivers,"\nA part of the forest known as Incomparable.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ རབ་མེད་ རབ་ཏུ་ ཚ་བ,,place-Vaitaraṇī­pradāha­pravāha,yes,Burning Torrent of the Vaitaraṇī,"\nA realm that neighbors the Hell of Intense Heat.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ རབ་མེད,,place-Kṣāranadī,yes,Kṣāranadī,"\n“Caustic River,” one of the hells.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆུ་བོ་ རོ་ ཞིམ,,place-—,yes,River of Sweet Taste,"\nA river in Dwelling in the Lofty.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ ཤུགས་ ཆེན་ འབབ,,place-—,yes,River of Strong Current,"\nA river in Dwelling in the Lofty.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ ཤུགས་ ཕྲེང,,place-—,yes,River of Strong Garlands,"\nA river in Dwelling in the Lofty.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ སྟོང་ འབབ,,place-—,yes,River of a Thousand Flows,"\nA river in Dwelling in the Lofty.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ སྣར་མ,,place-Brahmaputra,yes,Brahmaputra,"\nA river in India.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆུ་བོ་ སྨན་ ལྗོང,,place-—,yes,Rivers and Flatlands,"\nA peak upon Mount Sumeru.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ -འི་ རླབས་ འཇིགས་པ,,place-Pratibhaya­taraṅgā,yes,Fearsome Waves,"\nA river in the Hell of Intense Heat.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་བོ་ -འི་ ལྷ,,person-Varuṇadeva,yes,Varuṇadeva,"\nA buddha in the past.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆུ་ མངའ་ -ས,,place-Toyikā,yes,Toyikā,"\nThe place where the Buddha showed the skeleton of the Buddha Kāśyapa to monks.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
ཆུ་ མཉམ་པ་ -ར་ གྱུར་པ,,place-—,yes,Even Waters,"\nAn ocean between Godānīya and Videha.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་ཚོད,,term-nāḍikā,yes,Nāḍikā,"\nPeriod of 24 minutes.\nToh 361, Vienna Buddhist Translation Studies Group,v 1.2.13"
ཆུ་ཟླ,,term-udaka­candra,yes,Moon reflected in water,"\nNone\nToh 11, Padmakara Translation Group,v 1.39.3"
ཆུ་ ཡི་ ལྷ,,person-Varuṇa,yes,Varuṇa,"\nIn the Vedas, Varuṇa is an important deity and in particular the deity of the sky, but in later Indian tradition only of the water and the underworld. The Tibetan does not attempt to translate his name but instead says “god of water.” The Sanskrit name has ancient pre-Sanskrit origins, and as he was originally the god of the sky is related to the root vṛ, meaning “enveloping” or “covering.” He has the same ancient origins as the ancient Greek sky deity Uranus and the Zoroastrian supreme deity Mazda.\nToh 116, Peter Alan Roberts with Tulku Yeshi,v 2.47.19"
ཆུ་རབ་ ཏུ་ དགའ་བ,,place-—,yes,Delightful Waters,"\nA lotus pond in Pair of Śāla Trees.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་རབ་ ཏུ་ དང་བ,,place-—,yes,Bright Waters,"\nAn ocean far off the coast of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་རླབས,,person-Jalataraṅga,yes,Jalataraṅga,"\nA future buddha.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཆུ་ ལ་ སྤྱོད་པ་ -འི་ ས་གཞི,,place-—,yes,Place Where the Water is Enjoyed,"\nA pond on Equal Peaks.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་ལྡན,,place-—,yes,Endowed with Rivers,"\nA land in the south of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་ལྷ་ མ,,person-Vāruṇī,yes,Vāruṇī,"\nOne of the great mātṛs.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆུ་ལྷ,,person-Varuṇa,yes,Varuṇa,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nA bodhisattva. Alternatively, the god of waters, an ancient deity of the Vedic pantheon.\nToh 124, Dharmachakra Translation Committee.,v 1.1.11\nThe principal nāga king; also the god of the sea in the Vedas. In this sūtra Sāgara is an alternative name and not another nāga.\nToh 127, Peter Alan Roberts,v 1.45.16\nNone\nToh 130, Dharmachakra Translation Committee,v 1.26.7\nA bodhisattva in the Buddha’s retinue.\nToh 138, Dharmachakra Translation Committee,v 1.0.14\nName of a bodhisattva.\nToh 157, Dharmachakra Translation Committee.,v 1.1.9\nA god.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\nOne of the guardian deities.\nToh 182, Dharmachakra Translation Committee,v 1.18.16\nVedic deity of the sky, water, and ocean.\nToh 193, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.20.11\nThe name of one of the oldest of the Vedic gods, associated with the waters.\nToh 273, The Dharmachakra Translation Committee,v 1.2.13\nOne of the oldest deities of the Vedic pantheon and one of the first to be considered a supreme deity or “king of the gods.” Varuṇa eventually came to occupy a lesser status in the Vedic pantheon as a god of the waters.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22Aruṇa\nOne of the kinnara kings.\nToh 543, Dharmachakra Translation Committee,v 1.21.16\nThe god of waters.\nToh 543, Dharmachakra Translation Committee,v 1.21.16\nNone\nToh 558, Dharmachakra Translation Committee,v 1.5.16\nA nāga king; a member of the Buddha's retinue.\nToh 59, Dharmachakra Translation Committee,v 1.1.1\nNone\nToh 68, UCSB Buddhist Studies Translation Group,v 1.0.2\nOne of the eight guardians of the directions, Varuṇa guards the northeast quarter.\nToh 846, The Dharmachakra Translation Committee,v 1.1.14Varuṇadeva\nNone\nToh 85, Karen Liljenberg.,v 1.22.8\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3\nA god.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14\nA bodhisattva; a former incarnation of the Buddha.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཆུ་ལྷ་ -འི་ བློ་གྲོས,,person-Varuṇamati,yes,Varuṇamati,"\nA bodhisattva in the Buddha’s retinue.\nToh 138, Dharmachakra Translation Committee,v 1.0.14"
ཆུ་ལྷ་ -འི་ ལྷ,,person-Varuṇadeva,yes,Varuṇadeva,"\nA bodhisattva.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8\nNone\nToh 68, UCSB Buddhist Studies Translation Group,v 1.0.2"
ཆུ་ལྷ་ -ས་ བྱིན,,person-Varuṇa­datta,yes,Varuṇa­datta,"\nName of a bodhisattva.\nToh 11, Padmakara Translation Group,v 1.39.3"
ཆུ་ཤིང་ བསྲེགས་པ་ -འི་ ཚལ,,place-Kadalī­dhūma­vana,yes,Smoky Forest of Burning Plantains,"\nOne of sixteen realms that surround the Howling Hell.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་སྐྱེས,,person-—,yes,Water Born,"\nA prince who was the Buddha in a former life. See also note https://read.84000.co/translation/UT22084-001-006.html#UT22084-001-006-4914.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
ཆུ་ སྒྲ་ ཀུན་ ནས་ སྒྲོགས་པ,,place-—,yes,Sounds of Water,"\nA forest on Encircled by White Clouds.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་ སྒྲ,,place-Jambhāvitāra,yes,Sound of Water,"\nOne of sixteen realms that surround the Hell of Ultimate Torment.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་སྔོན་པོ,,place-—,yes,Blue Waters,"\nAn ocean far off the coast of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་སྟོད,,person-Pūrvāṣāḍhā,yes,Pūrvāṣāḍhā,"\nThe name of a lunar asterism. Its chief star is known as Delta Sagittarii in the occidental tradition.\nToh 138, Dharmachakra Translation Committee,v 1.0.14Āṣāḍha\nThe name of a certain householder.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22\nThe name of a nakṣatra. One of the two Āṣāḍhās.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆུ་སྦྱིན་ སྔོ་བ,,person-Nīlāmbuda,yes,Nīlāmbuda,"\nOne of the kings of the nāgas.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆུ་སྨད,,person-(not in the Skt. source of the MMK),yes,Uttārāṣāḍhā,"\nThe name of a nakṣatra. One of the two Āṣāḍhās.\nToh 543, Dharmachakra Translation Committee,v 1.21.16Āṣādhas\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
ཆུ་སྲིན་ ཀཱུ་ རྨ་ མང་བ་ ཉིད,,place-—,yes,Abundant Kūrma Monsters,"\nA river on Saṅkāśa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་སྲིན་ ན་ཀྲ་ -ས་ བསྐོར་བ,,place-—,yes,Surrounded by Nakra Crocodiles,"\nA river on Saṅkāśa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆུ་སྲིན་ བྱིས་པ་ གསོད་ ལྟ་བུ་ -འི་ རི,,place-Śuśumāragiri,yes,Mount Śuśumāra,"\nSometimes has the alternative Sanskrit spelling Śiśumāragiri.\nToh 85, Karen Liljenberg.,v 1.22.8\nSometimes has the alternative Sanskrit spelling Śiśumāragiri.\nToh 86, Karen Liljenberg and Ulrich Pagel.,v 1.34.5"
ཆུ་སྲིན,,term-makara,yes,Makara,"\nA fabled sea monster, the front part of which is a mammal. It is said to be the largest animal in the world, with the strongest bite. Its head is said to be a combination of the features of an elephant, a crocodile, and a boar. The name is also applied to the dugong, the crocodile (in particular the Mugger crocodile, whose name is even derived from makara ), and the dolphin, particularly the Ganges dolphin, because the Ganges goddess is said to ride on a makara.\nToh 113, Peter Alan Roberts,v 1.2.1\nAn aquatic monster.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6\nA fabled sea monster, the front part of which is a mammal. It is said to be the largest animal in the world, with the strongest bite. Its head is said to be a combination of the features of an elephant, a crocodile, and a boar. The name is also applied to the dugong, the crocodile (in particular the Mugger crocodile, whose name is even derived from makara), and the dolphin, particularly the Ganges dolphin, because the Ganges goddess is said to ride on a makara.\nToh 44-45, Peter Alan Roberts,v 0.0.8Capricorn\nSee “Makara.”\nToh 543, Dharmachakra Translation Committee,v 1.21.16\nCapricorn (zodiac sign and constellation).\nToh 543, Dharmachakra Translation Committee,v 1.21.16Kumbhīra\nNone\nToh 558, Dharmachakra Translation Committee,v 1.5.16"
ཆུ,,person-—,yes,Water,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nNone\nToh 361, Vienna Buddhist Translation Studies Group,v 1.2.13Varuṇa\nThe god of water.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཆུང་ ཆེ,,place-—,yes,Heaven of Lesser Greatness,"\nNone\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཆུང་ དགེ,,place-parīttaśubha,yes,Heaven of Limited Virtue,"\nNone\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཆུ་ -འི་ ཁམས,,term-abdhātu,yes,Water element,"\nNone\nToh 11, Padmakara Translation Group,v 1.39.3"
ཆུ་ -འི་ དཔལ,,person-Varuṇaśrī,yes,Varuṇaśrī,"\nOne of the future buddhas of this kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆུ་ -འི་ བཏག་པ,,term-udakaparīkṣā,yes,Water trial,"\nA type of ordeal to test one’s veracity.\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཆུ་ -འི་ རྒྱལ་པོ་ -ར་ སྣང་བ,,place-—,yes,Appearance of the Sovereign of Water,"\nThe world realm of the Tathāgata Glory of Precious Blue Lotus.\nToh 147, Anne Burchardi,v 1.2.18"
ཆུ་ -འི་ ལྷ,,person-Varuṇa,yes,Varuṇa,"\nThe name of the deity of water, whose weapon is a noose. In the Vedas, Varuṇa is an important deity and in particular the deity of the sky, but in later Indian tradition he is the deity of the water and the underworld. The Tibetan does not attempt to translate his name but instead has “god of water.” The Sanskrit name has ancient pre-Sanskrit origins, and, as he was originally the god of the sky, is related to the root vṛ, meaning “enveloping” or “covering.” He has the same ancient origins as the ancient Greek sky deity Uranus and the Zoroastrian supreme deity Mazda.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆུ་ -འི་ ལྷ་ -འི་ སྤྱན,,person-Varuṇākṣa,yes,Varuṇākṣa,"\nOne of the future buddhas of this kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆུས་ ཁྱབ་པ,,place-—,yes,Pervasive Waters,"\nAn ocean between Kuru and Godānīya.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆེ་བ,,place-bṛha,yes,Greater Heaven,"\nNone\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཆེ་བ་ -ར་ གྲགས,,person-Maheśākhya,yes,Maheśākhya,"\nA certain yakṣa, a friend of the Buddha.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཆེད་ དུ་ བརྗོད་པ,,term-udāna,yes,Udāna,"\nAs one of the twelve aspects of the Dharma, it means teachings that were not given in response to a request. See also “twelve wheels of the Dharma.”\nToh 116, Peter Alan Roberts with Tulku Yeshi,v 2.47.19\nA verse text possibly included in the lost Kṣudraka­piṭaka of the Mūla­sarvāstivādins.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6Meaningful statements\nA formal mode of expression, usually on a religious topic.\nToh 46, Dharmachakra Translation Committee,v 1.0.4"
ཆེན་པོ་ ཏུ་ རུཥྐ,,person-Mahāturuṣka,yes,Mahāturuṣka,"\nThe king identified with the Kushana emperor Huvishka, the successor of Kanishka.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆེན་པོ་པ,,person-Mahaka,yes,Mahaka,"\nOne of Upananda’s two novices whose homoerotic play led the Buddha to forbid allowing two novices to live together.\nToh 1-1, Robert Miller and team,v 1.35.7"
ཆེན་པོ་ རབ་ཏུ་ འབབ་པ,,place-—,yes,Great Flow,"\nA lake on Equal Peaks.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཆེན་པོ་ སྟོབས་ཆེན,,person-Mahāvīryā,yes,Mahāvīryā,"\nOne of the vidyās attending upon Mañjuśrī.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆེན་པོ,,place-Mahī,yes,Mahī,"\nA river.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
ཆེན་ མོ་ ཉིད,,person-Bṛhantā,yes,Bṛhantā,"\nOne of the vidyārājñīs dwelling with Śākyamuni in the realm of the Pure Abode.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆེ་ -ར་ དཀར་བ,,term-—,yes,Greatly white,"\nA type of worm (srin bu) that lives in and feeds on the body.\nToh 58, Robert Kritzer,v 1.1.0"
ཆེ་ -ར་ བཀོད་པ,,place-Mahāvyūha,yes,Mahāvyūha,"\nThe name of the universe in the distant past where the Buddha Bhaiṣajyarāja presided, and taught the prince Chandracchattra about the Dharma-worship (in the Epilogue).\nToh 176,None,v 1.45.11"
ཆེ་ -ར་ བསྒྱིངས,,person-—,yes,Great Poise,"\nA bodhisattva.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8"
ཆེ་ -ར་ འབྱུང་བ,,place-Mahāsaṃbhavā,yes,Mahāsaṃbhavā,"\nA world realm in the distant past.\nToh 113, Peter Alan Roberts,v 1.2.1"
ཆེ་ -ར་ སྣང,,person-Surūpa,yes,Surūpa,"\nA bodhisattva.\nToh 190, Dharmachakra Translation Committee,v 1.0.0"
ཆོ་འཕྲུལ,,term-ā­deśanā­prati­hārya,yes,Miraculous fortune telling,"\nNone\nToh 11, Padmakara Translation Group,v 1.39.3Miraculous display\nNone\nToh 147, Anne Burchardi,v 1.2.18Miracle\nNone\nToh 186, Buddhavacana Translation Group (Vienna),v 1.33.15"
ཆོམ་རྐུན་ མ,,person-Caurī,yes,Caurī,"\nOne of the female deities in the retinue of Hevajra.\nToh 381, Dharmachakra Translation Committee.,v 1.11.14"
ཆོས་ ཀྱི་ གཞལ་མེད་ ཁང་ གི་ དབྱངས་ ཀྱི་ རྒྱལ་པོ,,person-Dharma­vimāna­nirghoṣa­rāja,yes,Dharma­vimāna­nirghoṣa­rāja,"\nA buddha in the distant past.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ གྲོང་ཁྱེར་ རབ་ཏུ་ སྣང་བ་ -འི་ དཔལ,,person-Dharma­nagara­prabha­śrī,yes,Dharma­nagara­prabha­śrī,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ ཆོ་འཕྲུལ་ རྒྱལ་མཚན་ ཤུགས་ ཀྱི་ དཔལ,,person-Dhārma­vikurvaṇa­dhvaja­vega­śrī,yes,Dhārma­vikurvaṇa­dhvaja­vega­śrī,"\nNone\nToh 193, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.20.11"
ཆོས་ ཀྱི་ ཉི་མ་ དཔལ་ གྱི་ སྤྲིན,,person-Dharma­bhāskara­śrī­megha,yes,Dharma­bhāskara­śrī­megha,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ ཉི་མ་ -འི་ གཟི་བརྗིད,,person-Dharma­sūrya­tejas,yes,Dharma­sūrya­tejas,"\nA bodhisattva present in Śrāvastī.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ ཉི་མ་ -འི་ དཀྱིལ་འཁོར་ ཡེ་ཤེས་ ཀྱི་ སྒྲོན་མ,,person-Dharmāditya­jñāna­maṇḍala­pradīpa,yes,Dharmāditya­jñāna­maṇḍala­pradīpa,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ ཉི་མ་ -འི་ སྤྲིན་ རབ་ཏུ་ སྣང་བ,,person-Dharma­sūrya­megha­pradīpa,yes,Dharma­sūrya­megha­pradīpa,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ ཏོག,,person-Dharmaketu,yes,Dharmaketu,"\nNone\nToh 127, Peter Alan Roberts,v 1.45.16Crest of Dharma\nA bodhisattva.\nToh 129, Dharmachakra Translation Committee,v 1.3.21\nNone\nToh 176,None,v 1.45.11\nA tathāgata.\nToh 543, Dharmachakra Translation Committee,v 1.21.16\nNone\nToh 68, UCSB Buddhist Studies Translation Group,v 1.0.2\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
ཆོས་ ཀྱི་ དཀྱིལ་འཁོར་ གྱི་ འོད་ རབ་ཏུ་ སྣང་བ,,person-Dharma­maṇḍalāvabhāsa­prabha­cūḍa,yes,Dharma­maṇḍalāvabhāsa­prabha­cūḍa,"\nOne of countless buddhas in a past kalpa. See note https://read.84000.co/translation/UT22084-037-007.html#UT22084-037-007-3582.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དཀྱིལ་འཁོར་ དཔལ་ གྱི་ རི་བོ་ སྣང་བ་ -འི་ འོད,,person-Dharma­maṇḍala­śrī­śikharābha­prabha,yes,Dharma­maṇḍala­śrī­śikharābha­prabha,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དཀྱིལ་འཁོར་ ན་བུན་ སྤྲིན,,person-Dharma­maṇḍala­paṭala­megha,yes,Dharma­maṇḍala­paṭala­megha,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དཀྱིལ་འཁོར་ རྣམ་པ་ -ར་ སངས་རྒྱས་པ་ -འི་ དཔལ་ གྱི་ ཟླ་བ,,person-Dharma­maṇḍala­vibuddha­śrī­candra,yes,Dharma­maṇḍala­vibuddha­śrī­candra,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དཀྱིལ་འཁོར་ སྣང་བ,,person-Dharma­maṇḍala­prabhāsa,yes,Dharma­maṇḍala­prabhāsa,"\nA buddha in the distant past.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དཔལ,,person-Dharmaśrī,yes,Dharmaśrī,"\nNone\nToh 193, Sakya Pandita Translation Group (International Buddhist Academy Division),v 2.20.11Dharmaketu\nA bodhisattva present in Śrāvastī.\nToh 44-45, Peter Alan Roberts,v 0.0.8\nA bodhisattva present with the Buddha at Śrāvastī, and also the name of a buddha in the distant past. BHS verse: Dharmaśiri.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབང་པོ་ -འི་ རྒྱལ་པོ,,person-Dharmendrarāja,yes,Dharmendrarāja,"\nA bodhisattva present with the Buddha at Śrāvastī (translated as chos kyi dbang po’i rgyal po), and also the name of two buddhas in the distant past (translated as chos dbang rgyal po).\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབང་ཕྱུག,,person-—,yes,Dharmeśvara,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nNone\nToh 176,None,v 1.45.11Dharmeśvara­rāja\nA king in the distant past.\nToh 44-45, Peter Alan Roberts,v 0.0.8\nOne of the bodhisattvas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
ཆོས་ ཀྱི་ དབང་ཕྱུག་ གི་ རྒྱལ་པོ,,person-Dharmeśvara­rāja,yes,Dharmeśvara­rāja,"\nThe name of a bodhisattva. One of the more prominent interlocutors in The Teaching on the Great Compassion of the Tathāgata, he is instrumental in instigating the Buddha’s discourse.\nToh 147, Anne Burchardi,v 1.2.18"
ཆོས་ ཀྱི་ དབྱིག་ རི་བོ་ སྣང་བ་ -འི་ ཕུང་པོ,,person-Dharma­dhana­śikharābha­skandha,yes,Dharma­dhana­śikharābha­skandha,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབྱིང,,term-dharmadhātu,yes,Realm of phenomena,"\nThe “sphere of dharmas,” a synonym for the nature of things.\nToh 129, Dharmachakra Translation Committee,v 1.3.21Dharmadhātu\nSee “sphere of phenomena.”\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཆོས་ ཀྱི་ དབྱིངས་ ཀུན་ ཏུ་ རྒྱས་པ་ -འི་ དབྱངས,,person-Sarva­dharma­dhātu­spharaṇa­ghoṣa,yes,Sarva­dharma­dhātu­spharaṇa­ghoṣa,"\nA bodhisattva present in Śrāvastī.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱི་ གཞི་ ཐ་དད་པ་ -འི་ དཔལ་ གྱི་ རྒྱལ་པོ,,person-Sarva­dharma­dhātu­tala­bheda­ketu­rāja,yes,Sarva­dharma­dhātu­tala­bheda­ketu­rāja,"\nA bodhisattva in a southeastern realm.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱི་ གྲོང་ཁྱེར་ ཡེ་ཤེས་ ཀྱི་ འོད་ ཀྱིས་ རབ་ཏུ་ སྣང་བ་ -འི་ རྒྱལ་པོ,,person-Dharma­dhātu­nagarābha­jñāna­pradīpa­rāja,yes,Dharma­dhātu­nagarābha­jñāna­pradīpa­rāja,"\nThe last of a series of countless buddhas in a past kalpa. The form of his name in prose. In verse he is called Dharma­megha­nagarābha­pradīpa­rāja.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱི་ ཡུལ་ གྱི་ བློ་གྲོས་ ཟླ་བ,,person-Dharma­dhātu­viṣaya­mati­candra,yes,Dharma­dhātu­viṣaya­mati­candra,"\nA buddha in the distant past.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱི་ ཡེ་ཤེས་ སྒྲོན་མ,,person-Dharma­dhātu­jñāna­pradīpa,yes,Dharma­dhātu­jñāna­pradīpa,"\nA buddha in a western realm.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱི་ ཡེ་ཤེས,,term-dharma­dhātu­jñāna,yes,Wisdom of the sphere of phenomena,"\nOne of the five wisdoms corresponding to the tathāgata in the centre of the maṇḍala (in the CMT it is the buddha Akṣobhya).\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱི་ སེང་གེ་ -འི་ འོད,,person-Dharma­dhātu­siṃha­prabha,yes,Dharma­dhātu­siṃha­prabha,"\nOne of countless buddhas in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱི་ སྒྲ་དབྱངས,,person-—,yes,Dharmadhātu Melody,"\nA bodhisattva.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱི་ སྨོན་ལམ་ གྱི་ གཞི་ རབ་ཏུ་ རྟོགས་པ,,person-Dharma­dhātu­praṇidhi­tala­nirbheda; Dharma­dhātu­tala­bheda­jñānābhijñā­rāja,yes,Dharma­dhātu­praṇidhi­tala­nirbheda,"\nA bodhisattva from a realm in the downward direction.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཆོས་ ཀྱི་ དབྱིངས་ ཀྱིས་ ཀླས་པ,,term-dharmadhātuparamaḥ,yes,Ultimate within the domain of truth,"\nMahāvyutpatti 6429.\nToh 106, Buddhavacana Translation Group (Vienna),v 1.0.9"
ཆོས་ ཀྱི་ དབྱིངས་ ཐམས་ཅད་ རྒྱས་པ་ -ར་ འགེངས་པ་ -འི་ དབྱངས,,person-—,yes,Song that Pervades the Entire Realm of Phenomena,"\nA bodhisattva.\nToh 129, Dharmachakra Translation Committee,v 1.3.21"
